ServiceNo,Operator,Direction,Category,OriginCode,DestinationCode,AM_Peak_Freq,AM_Offpeak_Freq,PM_Peak_Freq,PM_Offpeak_Freq,LoopDesc
962B,SMRT,1,TRUNK,58259,58251,29-31,-,26-34,-,
962C,SMRT,1,TRUNK,47571,47591,08-09,-,-,-,
964,SMRT,1,TRUNK,46009,46009,04-05,04-09,03-05,05-13,Nth Woodlands Link
970,SMRT,1,TRUNK,45009,03239,11-15,10-17,10-18,15-18,
970,SMRT,2,TRUNK,03239,45009,15,08-16,11-13,12-16,
972,SMRT,1,TRUNK,45009,45009,04-11,08-16,05-09,11-19,Bencoolen St
972A,SMRT,1,TRUNK,45009,08057,-,-,-,17,
972M,SMRT,1,TRUNK,45009,45009,08-10,12-18,09-11,24-25,Bencoolen St
973,SMRT,1,TRUNK,45009,45009,10-13,12,10-12,10-15,Hume Ave
973A,SMRT,1,TRUNK,45009,44229,-,-,-,20,
974,SMRT,1,TRUNK,24009,24009,12-15,13-15,12-13,14-16,Upp Bt Timah Rd
974A,SMRT,1,TRUNK,24009,44539,-,-,-,15-15,Upp Bt Timah Rd
975,SMRT,1,TRUNK,45009,45009,07,07-11,06-09,09-12,Lim Chu Kang Rd
975A,SMRT,1,TRUNK,44531,30089,16-32,-,-,-,
975B,SMRT,1,TRUNK,44531,33041,12-44,-,08-28,09-80,
975C,SMRT,1,TRUNK,45009,34009,-,-,-,10,
976,SMRT,1,TRUNK,44009,45009,10-15,12-17,15,14-18,
976,SMRT,2,TRUNK,45009,44009,10-15,13-17,15,15-16,
979,SMRT,1,TRUNK,45009,45009,04-06,06-11,05-07,06-13,Choa Chu Kang Cres
982E,SMRT,1,EXPRESS,44589,03391,15,-,-,-,
982E,SMRT,2,EXPRESS,03539,44581,-,-,15,-,
983,SMRT,1,TRUNK,44009,44009,04-05,05-10,04-07,05-11,Jelebu Rd
983A,SMRT,1,TRUNK,44009,44131,-,-,-,15-20,
983M,SMRT,1,TRUNK,44551,44969,20,-,-,-,
985,SMRT,1,TRUNK,44009,80009,08-11,10-15,12-13,12-14,
985,SMRT,2,TRUNK,80009,44009,09-11,09-13,10-11,12-13,
991,SMRT,1,TRUNK,43009,44009,08-11,10-12,07-09,08-15,
991,SMRT,2,TRUNK,44009,43009,08-10,09-11,08-10,08-15,
991A,SMRT,1,TRUNK,43009,43341,-,-,-,15,
991B,SMRT,1,TRUNK,44009,44099,-,-,-,18-19,
991C,SMRT,1,TRUNK,44079,43579,22-30,-,-,-,
106,TTS,1,TRUNK,43009,03239,08-09,08-13,11-15,13-15,
106,TTS,2,TRUNK,03239,43009,11-12,08-15,09-14,11-14,
106A,TTS,1,TRUNK,43009,17179,09-09,09-09,-,-,
143,TTS,1,TRUNK,52009,28009,11-13,10-13,12-16,16-18,
143,TTS,2,TRUNK,28009,52009,11-14,11-15,15-15,13-15,
143M,TTS,1,TRUNK,28009,28009,15-18,14-18,14-16,16-19,Pandan Gdns
167,TTS,1,TRUNK,58009,10009,30-30,30-30,30-30,30-30,
167,TTS,2,TRUNK,10009,58009,30-30,30-30,30-30,30-30,
169,TTS,1,TRUNK,46009,54009,06-09,05-09,06-12,09-12,
169,TTS,2,TRUNK,54009,46009,06-09,06-09,06-08,09-12,
169A,TTS,1,TRUNK,46009,59073,07-07,-,-,-,
169B,TTS,1,TRUNK,46009,46711,12-12,-,-,-,
171,TTS,1,TRUNK,59009,59009,10-13,11-13,10-13,11-14,Upp Bt Timah Rd
173,TTS,1,TRUNK,43009,43009,10-10,10-14,10-15,15-22,Clementi Ave 3
173A,TTS,1,TRUNK,43009,43169,-,-,-,25-25,
177,TTS,1,TRUNK,43009,43009,13-15,12-12,14-15,-,Jelebu Rd
183,TTS,1,TRUNK,28009,28009,06-08,07-16,07-13,13-23,Science Pk Rd
183B,TTS,1,TRUNK,28009,28189,08-16,08-08,-,-,
189,TTS,1,TRUNK,43009,43009,05-05,06-06,06-10,15-21,Clementi Ave 1
189A,TTS,1,TRUNK,43009,43319,08-15,08-09,-,23-23,
282,TTS,1,FEEDER,17009,17009,06-12,11-14,06-12,06-15,Clementi West St 2
284,TTS,1,FEEDER,17009,17009,07-08,07-10,07-07,06-09,Clementi Ave 4
285,TTS,1,FEEDER,17009,17009,06-07,06-13,07-09,09-15,Pandan Loop
333,TTS,1,FEEDER,28009,28009,06-10,09-15,08-10,07-15,Jurong East St 32
334,TTS,1,FEEDER,28009,28009,06-09,07-12,06-08,06-14,Jurong West St 42
335,TTS,1,FEEDER,28009,28009,07-08,09-15,07-12,07-15,Jurong West St 41
41,TTS,1,TRUNK,28009,28009,12-15,12-16,14-15,15-23,Jln Anak Bt
49,TTS,1,TRUNK,28009,28009,07-14,09-14,09-10,14-15,Jurong West St 42
651,TTS,1,CITY_LINK,27461,03391,15-15,-,-,-,
651,TTS,2,CITY_LINK,03539,27469,-,-,15-15,-,
653,TTS,1,CITY_LINK,43811,03391,10-10,-,-,-,
653,TTS,2,CITY_LINK,03539,43268,-,-,15-15,-,
656,TTS,1,CITY_LINK,58121,03218,20-20,-,-,-,
656,TTS,2,CITY_LINK,03241,58129,-,-,15-15,-,
657,TTS,1,CITY_LINK,28539,03391,15-15,-,-,-,
657,TTS,2,CITY_LINK,03539,28531,-,-,15-15,-,
66,TTS,1,TRUNK,28009,28009,07-08,12-16,07-08,14-15,Upp Bt Timah Rd
663,TTS,1,CITY_LINK,59591,03218,15-15,-,-,-,
663,TTS,2,CITY_LINK,03241,59599,-,-,15-15,-,
670,TTS,1,CITY_LINK,59219,03391,20-20,-,-,-,
670,TTS,2,CITY_LINK,03539,59211,-,-,15-15,-,
77,TTS,1,TRUNK,43009,02089,12-13,14-16,14-15,12-15,
77,TTS,2,TRUNK,02101,43009,14-15,13-15,14-15,12-15,
78,TTS,1,TRUNK,29009,29009,08-10,08-14,08-12,15-22,Clementi Ave 3
78A,TTS,1,TRUNK,29009,29121,08-24,-,-,-,
