Line Name,Type,Sequence,Station Code,Station Name,Transfer,Build Start,Opening Date,Closed Date,Lantitude_x,Longitude_x,Others,Lantitude_y,Longitude_y
Downtown Line,MRT,20,DT20,Fort Canning,,,Before 2020,,,,,1.29235,103.84437
Downtown Line,MRT,21,DT21,Bencoolen,,,Before 2020,,,,,1.2982800000000003,103.84981
Downtown Line,MRT,22,DT22,Jalan Besar,,,Before 2020,,,,,1.3055200000000002,103.85543
Downtown Line,MRT,23,DT23,Bendemeer,,,Before 2020,,,,,1.31326,103.86262
Downtown Line,MRT,24,DT24,Geylang Bahru,,,Before 2020,,,,,1.3215299999999999,103.87185
Downtown Line,MRT,25,DT25,Mattar,,,Before 2020,,,,,1.3269400000000002,103.88293000000002
Downtown Line,MRT,26,CC10/DT26,MacPherson,Standard,,Before 2020,,,,,1.3263600000344091,103.88988499997849
Downtown Line,MRT,27,DT27,Ubi,,,Before 2020,,,,,1.32988,103.89934
Downtown Line,MRT,28,DT28,Kaki Bukit,,,Before 2020,,,,,1.3348799999999998,103.90818
Downtown Line,MRT,29,DT29,Bedok North,,,Before 2020,,,,,1.33459,103.91811000000001
Downtown Line,MRT,30,DT30,Bedok Reservoir,,,Before 2020,,,,,1.3364500000000001,103.93211
Downtown Line,MRT,31,DT31,Tampines West,,,Before 2020,,,,,1.3455199999999996,103.93849
Downtown Line,MRT,32,DT32-EW2,Tampines,Tap Out,,Before 2020,,,,,1.3541850002241342,103.9440800004316
Downtown Line,MRT,33,DT33,Tampines East,,,Before 2020,,,,,1.35613,103.95486
Downtown Line,MRT,34,DT34,Upper Changi,,,Before 2020,,,,,1.3416999999999997,103.9614
Downtown Line,MRT,35,DT35,Expo,,,Before 2020,,,,,1.335025000027575,103.96191999995088
East-West Line,MRT,1,EW1,Pasir Ris,,,Before 2020,,,,,1.3730799999999999,103.94928
East-West Line,MRT,2,DT32-EW2,Tampines,Tap Out,,Before 2020,,,,,1.3541850002241342,103.9440800004316
East-West Line,MRT,3,EW3,Simei,,,Before 2020,,,,,1.3432000000000002,103.95337000000002
East-West Line,MRT,4,CG/EW4,Tanah Merah,Standard,,Before 2020,,,,,1.3272,103.94653
East-West Line,MRT,5,EW5,Bedok,,,Before 2020,,,,,1.32403,103.93016
East-West Line,MRT,6,EW6,Kembangan,,,Before 2020,,,,,1.3210299999999997,103.91294
East-West Line,MRT,7,EW7,Eunos,,,Before 2020,,,,,1.3197899999999998,103.90291
East-West Line,MRT,8,CC9/EW8,Paya Lebar,Standard,,Before 2020,,,,,1.3177850000327342,103.8925649999489
East-West Line,MRT,9,EW9,Aljunied,,,Before 2020,,,,,1.31644,103.88289
East-West Line,MRT,10,EW10,Kallang,,,Before 2020,,,,,1.31147,103.87135
East-West Line,MRT,11,EW11,Lavender,,,Before 2020,,,,,1.3074700000000001,103.86287
East-West Line,MRT,12,DT14/EW12,Bugis,Standard,,Before 2020,,,,,1.300105000050039,103.85632500010036
East-West Line,MRT,13,EW13/NS13,City Hall,Standard,,Before 2020,,,,,1.2930800000003235,103.8526799999997
East-West Line,MRT,14,EW14/NS26,Raffles Place,Standard,,Before 2020,,,,,1.2843700000002416,103.851495
East-West Line,MRT,15,EW15,Tanjong Pagar,,,Before 2020,,,,,1.2747550038337327,103.84157999689853
East-West Line,MRT,16,EW16/NE3/T17,Outram Park,Standard,,Before 2020,,,,,1.2809800000150109,103.83929000008159
East-West Line,MRT,17,EW17,Tiong Bahru,,,Before 2020,,,,,1.2862,103.82683
East-West Line,MRT,18,EW18,Redhill,,,Before 2020,,,,,1.28965,103.81675
East-West Line,MRT,19,EW19,Queenstown,,,Before 2020,,,,,1.2946899999999997,103.806
East-West Line,MRT,20,EW20,Commonwealth,,,Before 2020,,,,,1.3024799999999999,103.79827
East-West Line,MRT,21,CC22/EW21,Buona Vista,Standard,,Before 2020,,,,,1.3068650000089022,103.79029000003126
East-West Line,MRT,22,EW22,Dover,,,Before 2020,,,,,1.3113999999999997,103.77859
East-West Line,MRT,23,EW23,Clementi,,,Before 2020,,,,,1.31512,103.76522
East-West Line,MRT,24,EW24/NS1,Jurong East,Standard,,Before 2020,,,,,1.3331233333363326,103.74230333332972
East-West Line,MRT,25,EW25,Chinese Garden,,,Before 2020,,,,,1.3424000000000003,103.73256
East-West Line,MRT,26,EW26,Lakeside,,,Before 2020,,,,,1.3442500000000002,103.72069
East-West Line,MRT,27,EW27,Boon Lay,,,Before 2020,,,,,1.33851,103.70574
East-West Line,MRT,28,EW28,Pioneer,,,Before 2020,,,,,1.33758,103.69739
East-West Line,MRT,29,EW29,Joo Koon,,,Before 2020,,,,,1.32772,103.67818000000001
East-West Line,MRT,30,EW30,Gul Circle,,,Before 2020,,,,,1.31957,103.66065
East-West Line,MRT,31,EW31,Tuas Crescent,,,Before 2020,,,,,1.3211300000000001,103.64895
East-West Line,MRT,32,EW32,Tuas West Road,,,Before 2020,,,,,1.33004,103.63959
East-West Line,MRT,33,EW33,Tuas Link,,,Before 2020,,,,,1.3397400000000002,103.6366
East-West Line Changi Airport Extension ,MRT,1,CG/EW4,Tanah Merah,Standard,,Before 2020,,,,,1.3272,103.94653
East-West Line Changi Airport Extension ,MRT,2,CG1,Expo,,,Before 2020,,,,,1.335025000027575,103.96191999995088
East-West Line Changi Airport Extension ,MRT,3,CG2,Changi Airport,,,Before 2020,,,,,1.3573,103.98858
North East Line,MRT,1,CC29/NE1,HarbourFront,Standard,,Before 2020,,,,,1.2653450000192066,103.82249499999442
North East Line,MRT,2,NE2,,,,None,,,,,,
North East Line,MRT,3,EW16/NE3/T17,Outram Park,Standard,,Before 2020,,,,,1.2809800000150109,103.83929000008159
North East Line,MRT,4,DT19/NE4,Chinatown,Standard,,Before 2020,,,,,1.2845600000131365,103.84364999996393
North East Line,MRT,5,NE5,Clarke Quay,,,Before 2020,,,,,1.2887300000000004,103.84661
North East Line,MRT,6,CC1/NE6/NS24,Dhoby Ghaut,Standard,,Before 2020,,,,,1.2992266666934715,103.84582333340933
North East Line,MRT,7,DT12/NE7,Little India,Standard,,Before 2020,,,,,1.3070350000183717,103.84944499996085
North East Line,MRT,8,NE8,Farrer Park,,,Before 2020,,,,,1.31258,103.85421
North East Line,MRT,9,NE9,Boon Keng,,,Before 2020,,,,,1.3199,103.86172
North East Line,MRT,10,NE10,Potong Pasir,,,Before 2020,,,,,1.3312500000000003,103.86906
North East Line,MRT,11,NE11,Woodleigh,,,Before 2020,,,,,1.3389700000000002,103.87071000000002
